slug,name,mastodon-url
liblast,Liblast,https://mastodon.gamedev.place/@liblast
alaskansocial,Alaskan.Social,https://alaskan.social/
lume,Lume,https://fosstodon.org/@lume
phillytru,Philly Transit Riders Union,https://mas.to/phillytru
openbenches,OpenBenches.org,https://botsin.space/@openbenches
libredirect,Libredirect,https://fosstodon.org/@libredirect
ecosystems,Ecosyste.ms,https://mastodon.social/@ecosystems
doks,Doks,https://fosstodon.org/@doks
tinygo,TinyGo,https://mastodon.social/@TinyGo
blackflagmedical,Black Flag Medical,https://social.coop/@blackflagmedical
overte,Overte e.V.,https://fosstodon.org/@overte
retrospring,Retrospring,https://fosstodon.org/@retrospring
almalinux-os-foundation,AlmaLinux OS foundation,https://%40almalinux@fosstodon.org/
jreleaser,JReleaser,https://fosstodon.org/@jreleaser
ohn,Open Hospitality Network,https://floss.social/@ohn
wedistribute,We Distribute,https://social.wedistribute.org/@hello
moa,Moa,https://fosstodon.org/@moaparty
scowestxcleague,Scotland West XC League,https://mastodon.scot/@westleague
cosmoscoop,Cosmos Co-op,https://social.coop/@cosmos
writefreely,WriteFreely,https://writing.exchange/@writefreely
discussonline,discuss.online,https://utter.online/@jsonarray
madridjug,MadridJUG,https://jvm.social/@madridJUG
hanami,Hanami,https://ruby.social/@hanami
sotabosc,Sotabosc,https://social.anartist.org/@sotabosc
7pidgeys,7 Pidgeys,https://social.pogo.community/@7pidgeys
manyfold,Manyfold,https://3dp.chat/@manyfold
workers-defense-alliance,Workers Defense Alliance,https://kolektiva.social/@WorkersDefenseAlliance
m4a-everywhere,Medicare for All EVERYWHERE,https://mstdn.social/@m4a_everywhere/
dolphin-emu,Dolphin Emulator,https://social.dolphin-emu.org/@dolphin
