slug,name,discord-url
horizon_sim,Horizon Simulations,https://discord.com/invite/Peyby68DTs
alova,alova,https://discord.gg/S47QGJgkVb
clash-of-titans-collective,Clash of Titans Collective,https://discord.gg/ekScjg4MDn
cross,cross,https://discord.gg/wMwA6ypWGs
virtualowa,Virtual Oneworld Alliance,https://discord.gg/qkVkg9dZU3
necord,Necord,https://discord.gg/mcBYvMTnwP
6-digit-mexican-tourney,6 Digit Mexican Tourney,https://discord.com/invite/EJQH95A2rR
lock-bot-network,Lock Bot Network,https://lockbot.dev/invite
dyrectorio-platform,dyrector.io platform,https://discord.gg/pZWbd4fxga
aqurusmc,AQur Us Craft,https://discord.gg/42PpZJPfwQ
pona,ma pona pi toki pona,https://discord.gg/mapona
africacryptochainxinnovators,AfricaCryptoChainx Innovators,https://discord.com/invite/6RAHKZ8Z
almokdad,Alwatanya for invesment projects,https://discord.gg/2FJTxgaH
cmc,Mr. V,https://discord.gg/2eQwqVczQ5
glitnir,Servidor Glitnir,https://discord.gg/9zEukpGvmj
aq-org1,AQ ORG,https://discord.gg/JCKzxavG
ariscorp,ArisCorp,https://discord.gg/ARISCORP
disqada,Discord Qada | قادة دسكورد,https://discord.com/invite/n3Pzujc5re
galette,Galette,https://discord.gg/98g2e3xka8
simplydjs,Simply-DJS,https://discord.gg/3JzDV9T5Fn
welcome-home-darling,"Welcome Home, Darling",https://discord.gg/N5HeQdHx7d
house-angeles,House Angeles,https://discord.com/invite/gVQwem78ax
cpp-africa,Cpp Africa,https://discord.gg/aSzjFS6Bxj
angolaosc,Angola Open Source Community,https://linktr.ee/angolaosc
axyl-projects,Axyl Projects,https://discord.gg/axyl
rubelrana,Md Rubel Rana,https://discord.gg/YGdgQt6hJ9
nyxb,nyxb,https://discord.nyxb.zip/
212th,212th,https://discord.gg/212th
antropus-studio,Antropus studio,https://discord.antropus.fr/
portal-2-community-edition,Portal 2: Community Edition,https://discord.gg/4naDtxeweV
biohacking-co-mmunity,Biohacking Community,https://discord.gg/biohackers
rmly,Rmly,https://discord.rmly.dev/
eft,EFT.SU,https://discord.gg/eft-su-967323164398977024
day-development,Day Development,https://discord.gg/FKEdUxHhTE
darkmash,Darkmash,https://discord.gg/SC54bSgnyQ
hentalk,HenTalk Group Open Fund,https://discord.com/servers/896056250402504715
kpop,hanni bot,https://discord.gg/mXSDAv3ygJ
imadev,I'm A Dev,https://im-a.dev/discord
africacryptochainx-innovators,AfricaCryptoChainx Innovators,https://discord.com/invite/6RAHKZ8Z
5ht2,5ht2,https://bot.5ht2.me/discord
riizevoting,RIIZE VOTING TEAM,https://discord.gg/BGgn4JAcg3
sffa,SFFA,https://discord.gg/sffa-959795934240309248
0xtxj3d1,0xTxj3D1,https://www.discord.com/invite/bedlam520
sketchboard-co,Sketchboard Co | Figure Drawing,https://discord.gg/Z5jEzmsDM5
bitcoin-design-foundation,Bitcoin Design Foundation,https://discord.gg/K7aQ5PErht
fcd-bot,FCD Bot,https://discord.com/channels/1027991480008192030/1028060866781904966/1031679489983385680
wv,Widerøe Virtual,https://discord.gg/qMsruXrhEA
fantastic5s,Fantastic 5's,https://discord.gg/Z5gnJukcG7
cconnect,Christians Connect,https://discord.gg/AA9z4Y4Kcs
eolttungserver,얼렁뚱땅 빌리지,https://discord.gg/rEmZbwuQ
kanojo,Kanojo,https://discord.gg/chg5KzTHHp
sea-cats-scallywags,Sea Cats Scallywags,https://discord.gg/seacatsscallywags
sharefast,sharefast.me,https://go.shfst.me/community
bms,Bald Men Processing,https://discord.gg/5SPQEFFz
gaming-central,Gaming Central,https://discord.gg/XMQ4KnzFjs
social-polyamory-atlanta,Social Polyamory Atlanta (SPA),https://discord.gg/acj2DxTKqM
fusion-creators-studio,Fusion Creators Studio,https://discord.gg/scp-cb-multiplayer-738022208781156483
alpha-corp-aged-shelf-corp-tru,Alpha Corp Aged Shelf Corp Trunch Fund,https://discord.gg/9beT27hGjJ
grownabis,Grownabis,https://seriesx95/
scav-succs,Scav SUCCs,https://discord.gg/G5vwxt2s
michu,Michu,https://discord.gg/FsE3dHJw4Q
5-digit-european-cup-2025,5 Digit European Cup 2025,https://discord.gg/hDhj6Jb45k
seccafe,SEC.CAFE 安全咖啡,https://discord.com/invite/WXSvykbYDb
meta-system-engine,Meta-System,https://discord.gg/ndGsnbTW7V
neutine-something,Neutine something,https://discord.neutine.net/
discourse-graphs,Discourse Graphs Project,https://discord.gg/vq83RRk2tg
tailframes,Tailframes,https://discord.gg/CEFdvzMZ
juger,juger,https://discord.com/channels/984793541526052864/984793541526052867
sketchup-academie,SketchUp Académie,https://discord.com/channels/826347257824935936/1012744376608362567
panicos,PanicOS,https://discord.gg/3347CEm6
escrin,Escrin,https://enshrine.ai/discord
hellborne,Hellborne,https://discord.gg/WDvMhnnU7W
heavens-labsorg,Heaven's Labs,https://discord.gg/6F8PPVqYMJ
midnight-kingdom,Midnight Kingdom,https://discord.gg/3Q2dp4hBCG
openjourney,Openjourney,https://discord.gg/cqSEc9FNrE
onepillkills,N.C. One Pill Kills,https://0.0.0.1/
abyss,Abyss,https://discord.gg/Ks44bNk
flybywire,FlyByWire Simulations,https://discord.gg/flybywire
playframework,Play Framework,https://discord.gg/g5s2vtZ4Fa
opencore-legacy-patcher,OpenCore Legacy Patcher,https://discord.gg/rqdPgH8xSN
linuxserver,LinuxServer,https://discord.gg/linuxserver
nuxtjs,Nuxt,https://chat.nuxt.dev/
wikijs,Wiki.js,https://discord.gg/rcxt9QS2jd
veloren,Veloren,https://discord.gg/veloren-community-449602562165833758
community-thailand,HoN Community Thailand,https://discord.gg/honth
rva-community-fridges,RVA Community Fridges,https://discord.com/invite/sQXrzwBqn6
revanced,ReVanced,https://revanced.app/discord
pnpm,pnpm,https://r.pnpm.io/chat
meshtastic,Meshtastic,https://discord.com/invite/ktMAKGBnBs
stride3d,Stride Game Engine,https://discord.gg/SsXf5h6h
ancientbeast,Ancient Beast 🐺,https://discord.com/invite/x78rKen
tarkov-dev,Tarkov Development Community,https://discord.gg/RSYdX7Qb
prismlauncher,Prism Launcher,https://prismlauncher.org/discord
rebel-harm-reduction,Rebel Harm Reduction,https://discord.gg/AC4HeESUPR
cncnet,CnCNet,https://cncnet.org/discord
actual,Actual,https://discord.gg/8JfAXSgfRf
srs-server,SRS,https://discord.gg/yZ4BnPmHAd
layerzero,Layer Zero,https://discord.gg/QUDKMAMDZB
fast-endpoints,FastEndpoints,https://discord.gg/ARGPxTukpr
azuracast,AzuraCast,https://discord.gg/azuracast
culture-ric,Culture-RIC,https://discord.com/invite/TmMaC2zTKq
task,Task,https://discord.gg/6TY36E39UK
flashpointarchive,Flashpoint Archive,https://discord.gg/vUP3pxGV
lawnchair,Lawnchair,https://discord.gg/3x8qNWxgGZ
dont-forget-the-streets,Don't Forget the Streets,https://discord.com/invite/3rKwG598Y5
dat,dat ecosystem,https://discord.com/invite/egsvGc9TkQ
biome,Biome,https://discord.gg/BypW39g6Yc
onestlatech,onestla.tech,https://discord.gg/se3PnEr
catppuccin,Catppuccin,https://discord.com/servers/catppuccin-907385605422448742
quiltmc,The Quilt Project,https://discord.quiltmc.org/
dosbox-staging,DOSBox Staging,https://discord.gg/5jvN2asT52
openjscad,OpenJSCAD.org,https://openjscad.xyz/discord.html
advancedfx,advancedfx,https://discord.gg/NGp8qhN
fossbilling,FOSSBilling,https://fossbilling.org/discord
wppconnect,WPPConnect,https://discord.com/invite/JU5JGGKGNG
figura,Figura,https://discord.figuramc.org/
vitest,Vitest,https://chat.vitest.dev/
js-lingui,js-lingui,https://discord.gg/gFWwAYnMtA
voxelibre,VoxeLibre,https://discord.gg/xE4z8EEpDC
onelitefeather,OneLiteFeather,https://discord.onelitefeather.net/
act-fund,Alliance of Civic Technologists,https://discord.com/channels/1082042973656715274/1108065073840263259/1119040568249548821
sharkey,Sharkey,https://discord.gg/gRk4Aw2mnR
liblast,Liblast,https://discord.gg/4hZZhf5x5D
quakeworld,QuakeWorld,http://discord.quake.world/
neoforged,NeoForged Foundation,https://discord.neoforged.net/
columbus-code-and-coffee,Columbus Code & Coffee,https://discord.gg/4cd9uPnXNh
scuffle,Scuffle,https://discord.gg/scuffle
pxls,Pxls,https://pxls.space/discord
dfir-iris,DFIR-IRIS,https://discord.gg/76tM6QUJza
panda-wallet,Panda Wallet,https://discord.gg/RD4uuhzMSh
leaf,Leaf PHP 🍁,https://discord.gg/Pkrm9NJPE3
sern,sern,https://sern.dev/discord
opennbs,OpenNBS,https://discord.gg/open-note-block-studio-608692895179997252
lss-manager,LSS-Manager,https://chat.lss-manager.de/
duostories,Duostories,https://discord.gg/4NGVScARR3
allthingslinux,All Things Linux,https://discord.gg/linux
tera-arise,TERA Arise,https://discord.gg/BZnmVMGYa9
multitheftauto,Multi Theft Auto,https://discord.com/invite/mtasa
kaplay,KAPLAY,https://discord.com/invite/aQ6RuQm3TF
tako,Tako,https://discord.com/invite/dfmXNTmzyp
gdevelop-community,GDevelop Community,https://discord.gg/gdevelop
7pidgeys,7 Pidgeys,https://discord.gg/Xex2mmr9yV
ucs,UncomplicatedCustomServer,https://discord.gg/5StRGu8EJV
100devs,100Devs,https://discord.gg/100devs
cyberinfo,Cyber Info,https://discord.gg/cyberinfo
romm,RomM,https://discord.gg/P5HtHnhUDH
openhv,OpenHV,https://discord.gg/X3VUtPtBTu
